0.7036,-0.03225,0.1463
-0.7072,-0.6618,-0.2206
-0.5705,0.7761,0.1162
0.08045,-0.6618,0.1919
-0.08967,0.1182,-0.06995
0.503,0.7759,0.1128
0.6944,-0.669,-0.2206
-0.7044,-0.09605,0.2352
-0.04713,0.6055,0.232
0.5179,0.3345,-0.2039
-0.3182,-0.3592,-0.01991
0.2718,-0.2475,-0.0585
-0.6543,-0.04721,-0.27
0.7032,-0.5054,0.2356
-0.5096,0.3266,-0.01991
-0.6848,-0.5772,0.2356
0.7036,0.4063,0.226
0.6847,-0.2393,-0.2413
0.1602,0.4223,-0.0585
0.3914,-0.6063,-0.01992
-0.7062,-0.3432,-0.03713
-0.2784,-0.669,0.1702
-0.19,0.4985,-0.07513
0.3436,0.4716,0.2404
0.3037,0.1033,-0.01991
-0.414,-0.0163,-0.01991
-0.7,0.4541,0.2359
-0.3661,0.5106,0.2253
0.008686,-0.4549,-0.0585
0.02198,-0.1288,-0.2604
-0.7062,0.1033,-0.02119
-0.4618,-0.6144,-0.0585
-0.289,-0.1288,-0.2604
0.7122,0.4932,-0.05308
0.5988,-0.407,-0.01991
0.7036,0.207,-0.01323
0.4546,-0.05773,-0.2038
-0.1269,-0.1453,-0.01265
-0.7,0.183,0.2359
0.4313,0.5033,-0.02118
-0.7108,0.4933,-0.04511
-0.1348,-0.6618,-0.04469
0.7055,-0.6667,0.0426
0.6854,-0.03241,-0.1009
0.5111,-0.6617,0.1919
0.1469,-0.6667,-0.04209
-0.4698,0.2264,-0.235
0.0964,-0.05611,-0.01992
0.7036,-0.2715,0.1861
-0.2864,0.2469,-0.0585
-0.6771,-0.669,0.01869
-0.7062,-0.3273,0.2021
0.519,-0.1838,-0.01991
-0.6532,-0.12,0.00467
0.7032,0.1724,0.2356
0.232,-0.07221,-0.2151
-0.6794,-0.2747,-0.2444
0.1044,0.215,-0.01991
0.2347,-0.4616,-0.0622
0.5137,0.1265,-0.07995
0.1203,0.5033,0.1383
0.2958,-0.6689,0.1853
-0.5253,0.5165,0.08511
0.5901,0.5696,0.1022
-0.4699,-0.2157,-0.05847
-0.4857,-0.6462,0.1915
-0.7062,0.3106,0.05058
0.04855,-0.2555,-0.01991
-0.03119,0.3665,-0.01991
-0.39,0.4779,-0.07497
-0.1987,0.4677,0.1223
0.3516,0.2947,-0.01991
-0.5256,-0.431,-0.0585
-0.6751,-0.4757,-0.1756
